LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
118,03/22,08:52:51,TRACE  ,........rsvp_action_nHop: constructing a PATH,e1241e80,........rsvp_action_nHop: constructing a <*>,['PATH']
119,03/22,08:52:51,TRACE  ,........flow_timer_start: started T1,65ed4bac,........flow_timer_start: started T1,[]
120,03/22,08:52:51,TRACE  ,.......rsvp_flow_stateMachine: entering state PATHED,d7689d27,.......rsvp_flow_stateMachine: <*> state <*>,"['entering', 'PATHED']"
121,03/22,08:52:51,TRACE  ,........mailslot_send: sending to (9.67.116.99:0),0f04ba1c,........mailslot_send: sending to (<*>),['9.67.116.99:0']
122,03/22,08:52:51,TRACE  ,........mailslot_send: sending to (9.67.116.99:1698),0f04ba1c,........mailslot_send: sending to (<*>),['9.67.116.99:1698']
123,03/22,08:52:51,TRACE  ,.....rsvp_event: received event from RAW-IP on interface 9.67.116.98,aa1df1bb,.....rsvp_event: received event from RAW-IP on interface <*>,['9.67.116.98']
124,03/22,08:52:51,TRACE  ,"......rsvp_explode_packet: v=1,flg=0,type=2,cksm=54875,ttl=255,rsv=0,len=84",8e8852b1,"......rsvp_explode_packet: v=1,flg=0,type=2,cksm=54875,ttl=255,rsv=0,len=84",[]
125,03/22,08:52:51,TRACE  ,.......rsvp_parse_objects: STYLE is WF,97c0dfa3,.......rsvp_parse_objects: STYLE is WF,[]
126,03/22,08:52:51,INFO   ,".......rsvp_parse_objects: obj RSVP_HOP hop=9.67.116.99, lih=0",152c10c8,".......rsvp_parse_objects: obj RSVP_HOP hop=<*>, lih=0",['9.67.116.99']
127,03/22,08:52:51,TRACE  ,......rsvp_event_mapSession: Session=9.67.116.99:1047:6 exists,66e774aa,......rsvp_event_mapSession: Session=<*>6 exists,['9.67.116.99:1047:']
128,03/22,08:52:51,INFO   ,".......rsvp_flow_stateMachine: state PATHED, event RESVDELTA",bbdf815a,.......rsvp_flow_stateMachine: state <*> event <*>,"['PATHED,', 'RESVDELTA']"
129,03/22,08:52:51,TRACE  ,........traffic_action_oif: is to install filter,dabf1227,........traffic_action_oif: is to <*> filter,['install']
130,03/22,08:52:51,INFO   ,.........qosmgr_request: src-9.67.116.98:8000 dst-9.67.116.99:1047 proto-6 rthdl-7f5251c8,67b6b381,.........qosmgr_request: src-<*> dst-<*> proto-6 rthdl-7f5251c8,"['9.67.116.98:8000', '9.67.116.99:1047']"
131,03/22,08:52:51,INFO   ,.........qosmgr_request: [CL r=90000 b=6000 p=110000 m=1024 M=2048],c4ae4a62,.........qosmgr_request: [CL r=90000 b=6000 p=110000 m=1024 M=2048],[]
132,03/22,08:52:51,INFO   ,.........qosmgr_request: Ioctl to add reservation successful,4e43f57f,.........qosmgr_request: Ioctl to <*> reservation successful,['add']
133,03/22,08:52:51,INFO   ,..........rpapi_Reg_UnregFlow: RSVPPutActionName:  Entering,56ad283c,..........rpapi_Reg_UnregFlow: <*> Entering,['RSVPPutActionName:']
134,03/22,08:52:51,INFO   ,..........rpapi_Reg_UnregFlow: ReadBuffer:  Entering,56ad283c,..........rpapi_Reg_UnregFlow: <*> Entering,['ReadBuffer:']
135,03/22,08:52:52,INFO   ,..........rpapi_Reg_UnregFlow: ReadBuffer:  Exiting,8e7e2fe0,..........rpapi_Reg_UnregFlow: <*> Exiting,['ReadBuffer:']
136,03/22,08:52:52,INFO   ,..........rpapi_Reg_UnregFlow: RSVPPutActionName:  Result = 0,48db75d5,..........rpapi_Reg_UnregFlow: <*> Result = 0,['RSVPPutActionName:']
137,03/22,08:52:52,INFO   ,..........rpapi_Reg_UnregFlow: RSVPPutActionName:  Exiting,8e7e2fe0,..........rpapi_Reg_UnregFlow: <*> Exiting,['RSVPPutActionName:']
138,03/22,08:52:52,INFO   ,"..........rpapi_Reg_UnregFlow: flow[sess=9.67.116.99:1047:6, source=9.67.116.98:8000] registered with CLCat2",8b4db5c1,"..........rpapi_Reg_UnregFlow: flow[sess=<*>6, source=<*>] <*> <*> CLCat2","['9.67.116.99:1047:', '9.67.116.98:8000', 'registered with']"
139,03/22,08:52:52,EVENT  ,"..........qosmgr_response: RESVRESP from qosmgr, reason=0, qoshandle=8b671d0",f39c5167,"..........qosmgr_response: <*> from qosmgr, reason=0, <*>","['RESVRESP', 'qoshandle=8b671d0']"
140,03/22,08:52:52,INFO   ,..........qosmgr_response: src-9.67.116.98:8000 dst-9.67.116.99:1047 proto-6,adb50415,..........qosmgr_response: src-<*> dst-<*> proto-6,"['9.67.116.98:8000', '9.67.116.99:1047']"
141,03/22,08:52:52,TRACE  ,"...........traffic_reader: tc response msg=1, status=1",cf008caa,...........traffic_reader: tc response <*> status=1,"['msg=1,']"
142,03/22,08:52:52,INFO   ,"...........traffic_reader: Reservation req successful[session=9.67.116.99:1047:6, source=9.67.116.98:8000, qoshd=8b671d0]",8378a188,"...........traffic_reader: Reservation req successful[session=<*>6, source=<*>, qoshd=8b671d0]","['9.67.116.99:1047:', '9.67.116.98:8000']"
143,03/22,08:52:52,TRACE  ,........api_action_sender: constructing a RESV,7c3cfb73,........api_action_sender: constructing a RESV,[]
144,03/22,08:52:52,TRACE  ,........flow_timer_stop: stopped T1,e9a8c793,........flow_timer_stop: stopped T1,[]
145,03/22,08:52:52,TRACE  ,........flow_timer_stop: Stop T4,6792e1c0,........flow_timer_stop: Stop T4,[]
146,03/22,08:52:52,TRACE  ,........flow_timer_start: started T1,65ed4bac,........flow_timer_start: started T1,[]
147,03/22,08:52:52,TRACE  ,........flow_timer_start: Start T4,c3f4b5b1,........flow_timer_start: Start T4,[]
148,03/22,08:52:52,TRACE  ,.......rsvp_flow_stateMachine: entering state RESVED,d7689d27,.......rsvp_flow_stateMachine: <*> state <*>,"['entering', 'RESVED']"
149,03/22,08:53:07,EVENT  ,..mailslot_sitter: process received signal SIGALRM,817639f7,..mailslot_sitter: process received signal <*>,['SIGALRM']
150,03/22,08:53:07,TRACE  ,.....event_timerT1_expire: T1 expired,32bf59b5,.....event_timerT1_expire: T1 expired,[]
151,03/22,08:53:07,INFO   ,......router_forward_getOI: Ioctl to query route entry successful,a5f92bdb,......router_forward_getOI: Ioctl to query route entry successful,[]
152,03/22,08:53:07,TRACE  ,......router_forward_getOI:         source address:   9.67.116.98,fc6a661e,......router_forward_getOI: source address: <*>,['9.67.116.98']
153,03/22,08:53:07,TRACE  ,......router_forward_getOI:         out inf:   9.67.116.98,3fefcfcc,......router_forward_getOI: out inf: <*>,['9.67.116.98']
154,03/22,08:53:07,TRACE  ,......router_forward_getOI:         gateway:   0.0.0.0,926b653a,......router_forward_getOI: gateway: <*>,['0.0.0.0']
155,03/22,08:53:07,TRACE  ,......router_forward_getOI:         route handle:   7f5251c8,f62dbde7,......router_forward_getOI: route handle: 7f5251c8,[]
156,03/22,08:53:07,INFO   ,"......rsvp_flow_stateMachine: state RESVED, event T1OUT",77d48314,"......rsvp_flow_stateMachine: state RESVED, event T1OUT",[]
157,03/22,08:53:07,TRACE  ,.......rsvp_action_nHop: constructing a PATH,e2f47669,.......rsvp_action_nHop: constructing a PATH,[]
158,03/22,08:53:07,TRACE  ,.......flow_timer_start: started T1,29c6d240,.......flow_timer_start: started T1,[]
159,03/22,08:53:07,TRACE  ,......rsvp_flow_stateMachine: reentering state RESVED,be7abee8,......rsvp_flow_stateMachine: reentering state RESVED,[]
160,03/22,08:53:07,TRACE  ,.......mailslot_send: sending to (9.67.116.99:0),61a253f0,.......mailslot_send: sending to (<*>),['9.67.116.99:0']
161,03/22,08:53:22,TRACE  ,.....rsvp_event: received event from RAW-IP on interface 9.67.116.98,aa1df1bb,.....rsvp_event: received event from RAW-IP on interface <*>,['9.67.116.98']
